word,frequency
Inside Sara Berman’s Closet at the Met Museum,1740
How Uber Used Secret Greyball Tool to Deceive Authorities Worldwide,1607
Transgender Models Find a Home,1585
"In Red-State Utah, a Surge Toward Obamacare",1523
"Merce Cunningham as Collaborator, Breaking Down Hierarchies in Art and Bodies",1494
Brazil’s Leaders Tout Austerity (Just Not for Them),1408
10 Things to Do in NYC Now,1375
The Best Movies and TV Shows New on Netflix Canada in March,1275
"State I.R.A. Plans Are Ready, if Congress Doesn’t Interfere",1254
"With a Trail of Smoke, a Leisurely Flight Turned Deadly",1165
UConn-Stanford? It Would Have Nothing on This Sibling Rivalry,1164
Frank Gehry and Daniel Barenboim on Their New Concert Hall in Berlin,1058
How Signet Jewelers Puts Extra Sparkle on Its Balance Sheet,1052
Interior Design Risks Worth Taking,1037
A Buffy Family Tree: ‘Bones’ and Demons and Rabid Fans,986
Shirley MacLaine Sets the Record Straight,985
"Walls, Drones and Mines: Turkey Tightens Border as Syria Incursion Deepens",984
Erased Onscreen: Where Are All the Interracial Couples?,979
Letters to the Editor,947
Political Squeeze Changes Landscape for Britain's Outsourcing Sector,919
Review: ‘Beauty and the Beast’ Revels in Joy and Enchantment,896
Taking the Dread Out of Cooking Dinner,860
Yellen Signals the Fed Will Likely Raise Rates This Month,839
Finding a Roommate When You’re in Your 60s,824
Movies and Television New on Netflix in March,748
"After Kansas Shooting, a Community in Fear",743
"With Power Demand Weak, Brazil Mulls an Auction to Cancel Projects",742
Janet Yellen Says Fed Is Likely to Raise Interest Rates This Month,728
"Factbox: Rough Guide to Manifesto of Macron, French Presidential Candidate",707
Seavey Chases Elusive 5th Title as Iditarod Starts Saturday,702
"US Says Free Expression, Association on Decline Worldwide",694
"Spring Amphibians, on the Move, Could Use Some Crossing Guards",692
Mosul Victims Treated for Chemical Agents as Displacement Accelerates,662
E.U. Lawmakers Call for End to Visa-Free Travel for Americans,652
The Latest: Snap Chat IPO Windfall Helps California School,652
Repricing Surge Boosts Demand for U.S. Second-Lien Loans,632
Interfaith Healer: The Surprising Role of Jesus in Islam,617
"Boxing's Big Night? Unbeatens Thurman, Garcia on Network TV",603
Review: Little Miss Sunshine Trips Into a Slasher Film in ‘All the Fine Boys’,596
"Cleveland Police, Panhandler in Longtime War of Wills",593
"Before His Arrest in Threats to Jewish Groups, Suspect Fumed at Racism",572
What to Cook This Weekend,570
Arkansas Rushes to Execute 8 Men in the Space of 10 Days,564
"Not Yet 30, This Fantasy Writer Is an Old Pro",541
The Latest: Jewish Heads Meet With FBI Director After Arrest,531
Champagne and Solange Knowles at the ‘Chloé Club’ Party,519
"Desperate Herders Lose Animals, Hope Amid Drought in Kenya",512
Sterling Bank Drops M&A Plans for Retail-Driven Growth,497
5 Charged in Scheme to Overcharge US for Humvee Parts,494
EU's Mogherini Booed in Serbian Parliament Ahead of Balkan Summit,484
Catch of the Year. No Ball Involved.,481
Pentagon: More Than 30 Airstrikes in Yemen Since Thursday,478
Ebola Nurse's Family Want to Sue Liberian Hospital Over Her Death,477
Carson McCullers at 100,475
Baseball: Team USA Want Their Turn to Celebrate at WBC,471
Fredericks Turns Himself Over to IOC Ethics Commission,468
Yellen Points to March Rate Hike and Confidence of More This Year,468
Brazil's Fast-Growing Fintechs Form Groups to Discuss Regulation,462
What We’re Reading,449
2 Inmates Killed in Nebraska Prison Revolt Identified,447
"New Interior Chief Vows Review of Obama-Era Rules,' Bold' Restructuring",444
A Relative of Couscous Finds a Wider Fan Base,441
Swiss National Bank's Jordan Sees Rising Political Risks-Media,437
TV Commentator Makes Equality an Issue in Dutch Elections,430
Welcome to the Wall: Artist Banksy Opens Bethlehem Hotel,413
Paperback Row,408
